tcptype windowsize queuesize segmentsize maxbytes goodput
TcpReno	8000	2000	256	8652	7219	12236	6323	12134	12467	7782	10291	10188	7065
TcpReno	8000	2000	512	15616	13056	11264	5683	7884	7731	10905	9113	2252	7475
TcpReno	8000	8000	128	9561	6528	3110	6476	3878	7014	14924	11059	11148	10201
TcpReno	8000	8000	256	10086	6374	15539	7603	13209	6860	7449	19328	4147	10137
TcpReno	8000	8000	512	12646	6041	6348	14950	11520	11264	12390	11315	8755	9164
TcpReno	8000	32000	128	13593	12467	7859	7526	7193	7193	7398	4876	6208	6195
TcpReno	8000	32000	256	8294	13926	12902	9088	10931	8448	8089	8345	8422	5324
TcpReno	8000	32000	512	10137	10956	15052	10547	10240	11161	6656	12492	7526	10291
TcpReno	8000	64000	128	9932	6668	8563	7590	6464	8614	5811	6732	8716	7001
TcpReno	8000	64000	256	18227	18329	18329	18073	6963	4096	4300	6220	4019	4019
TcpReno	8000	64000	512	16230	16179	11059	6041	16179	16179	15564	2662	10803	2662
TcpReno	32000	2000	128	7769	5529	10931	10112	7436	8217	4608	4953	12684	7116
TcpReno	32000	2000	256	13875	9088	4096	16947	7884	5683	12928	7347	8320	6272
TcpReno	32000	2000	512	8192	10291	14131	7168	10035	9932	10086	11520	6092	5171
TcpReno	32000	8000	128	9561	6528	3110	6476	3878	7014	14924	11059	11148	10201
TcpReno	32000	8000	256	21734	7654	9881	7321	8268	7449	9062	6604	11340	11315
TcpReno	32000	8000	512	13107	10188	16486	9881	10700	13619	9676	7219	7577	6348
TcpReno	32000	32000	128	8998	9062	8256	8576	7961	7961	8217	6118	7398	7385
TcpReno	32000	32000	256	10112	8678	7833	9753	9958	9548	12979	7961	9420	7270
TcpReno	32000	32000	512	7833	9779	9267	14284	9420	13260	9984	13056	11724	9369
TcpReno	32000	64000	128	6758	7756	8179	7987	7539	7756	5580	7769	7628	7680
TcpReno	32000	64000	256	9472	9600	10854	8115	10137	7756	7859	8294	7168	7116
TcpReno	32000	64000	512	10598	10803	9932	12236	9625	8652	8396	8345	8345	7936
TcpReno	64000	2000	128	7769	5529	10931	10112	7436	8217	4608	4953	12684	7116
TcpReno	64000	2000	256	13875	9088	4096	16947	7884	5683	12928	7347	8320	6272
TcpReno	64000	2000	512	8192	10291	14131	7168	10035	9932	10086	11520	6092	5171
TcpReno	64000	8000	128	9561	6528	3110	6476	3878	7014	14924	11059	11148	10201
TcpReno	64000	8000	256	21734	7654	9881	7321	8268	7449	9062	6604	11340	11315
TcpReno	64000	8000	512	13107	10188	16486	9881	10700	13619	9676	7219	7577	6348
TcpReno	64000	32000	128	8998	9062	8256	8576	7961	7961	8217	6118	7398	7385
TcpReno	64000	32000	256	10112	8678	7833	9753	9958	9548	12979	7961	9420	7270
TcpReno	64000	32000	512	7833	9779	9267	14284	9420	13260	9984	13056	11724	9369
TcpReno	64000	64000	128	6758	7756	8179	7987	7539	7756	5580	7769	7628	7680
TcpReno	64000	64000	256	9472	9600	10854	8115	10137	7756	7859	8294	7168	7116
TcpReno	64000	64000	512	10598	10803	9932	12236	9625	8652	8396	8345	8345	7936
